Model,Data,Jobs,Patience,Gridsearch,Iter,Length,Split,train acc,test acc 
logreg,data/splice.csv,-1,500,True,60,4000,5,88.3408071748879,89.5656068069861
rf,data/splice.csv,-1,500,True,60,4000,5,93.2735426008969,100
svc,data/splice.csv,1,500,True,10,4000,3,89.3871449925262,100
if,data/splice.csv,-1,500,True,30,4000,5,20.627802690583,17.7339901477833
knn,data/splice.csv,-1,500,True,30,4000,5,87.4439461883408,100
logreg,data/promoters.csv,-1,500,True,60,4000,5,77.2727272727273,100
rf,data/promoters.csv,-1,500,True,60,4000,5,86.3636363636364,97.2972972972973
svc,data/promoters.csv,-1,500,True,30,4000,5,72.7272727272727,100
if,data/promoters.csv,-1,500,True,30,4000,5,27.2727272727273,48.6486486486487
knn,data/promoters.csv,-1,500,True,30,4000,5,77.2727272727273,100
perceptron,data/splice.csv,-1,500,True,30,4000,5,,
perceptron,data/promoters.csv,-1,500,True,30,4000,5,,
mperceptron,data/splice.csv,-1,500,True,30,4000,5,,
mperceptron,data/promoters.csv,-1,500,True,30,4000,5,,
residual,data/splice.csv,-1,500,True,30,4000,5,,
residual,data/promoters.csv,-1,500,True,30,4000,5,,
